cell,cluster
ABalaaa,0
ABalaap,0
ABalapa,0
ABalapp,0
ABalpaa,0
ABalpap,0
ABalppa,0
ABalppp,0
ABaraaa,0
ABaraap,0
ABarapa,0
ABarapp,0
ABarpaa,0
ABarpap,0
ABarppa,0
ABarppp,0
ABplaaa,0
ABplaap,0
ABplapa,0
ABplapp,0
ABplpaa,0
ABplpap,0
ABplppa,0
ABplppp,0
ABpraaa,0
ABpraap,0
ABprapa,0
ABprapp,0
ABprpaa,0
ABprpap,0
ABprppa,0
ABprppp,0
Caa,0
Cap,0
Cpa,0
Cpp,0
Da,0
Dp,0
Eal,0
Ear,0
Epl,0
Epr,0
MSaaa,0
MSaap,0
MSapa,0
MSapp,0
MSpaa,0
MSpap,0
MSppa,0
MSppp,0
P4,0
ABalaaaala,1
ABalaaaalal,1
ABalaaaalar,1
ABalaaaalp,1
ABalaaaalpa,1
ABalaaaalpp,1
ABalaaaarl,1
ABalaaaarla,1
ABalaaaarlp,1
ABalaaaarr,1
ABalaaaarra,1
ABalaaaarrp,1
ABalaaapal,1
ABalaaapall,1
ABalaaapalr,1
ABalaaapar,1
ABalaaaparl,1
ABalaaaparr,1
ABalaaappl,1
ABalaaappll,1
ABalaaapplr,1
ABalaaappr,1
ABalaaapprl,1
ABalaaapprr,1
ABalaapaaa,1
ABalaapaaal,1
ABalaapaaar,1
ABalaapaap,1
ABalaapaapa,1
ABalaapaapp,1
ABalaapapa,1
ABalaapapp,1
ABalaapappa,1
ABalaapappp,1
ABalaappaa,1
ABalaappap,1
ABalaappapa,1
ABalaappapp,1
ABalaapppa,1
ABalaapppaa,1
ABalaapppap,1
ABalaapppp,1
ABalaappppa,1
ABalaappppp,1
ABalapaaaa,1
ABalapaaaaa,1
ABalapaaaap,1
ABalapaaap,1
ABalapaaapa,1
ABalapaaapp,1
ABalapaapa,1
ABalapaapaa,1
ABalapaapap,1
ABalapaapp,1
ABalapaappa,1
ABalapaappp,1
ABalapapaa,1
ABalapapap,1
ABalapapapa,1
ABalapapapaa,1
ABalapapapap,1
ABalapapapp,1
ABalapappa,1
ABalapappaa,1
ABalapappaaa,1
ABalapappaap,1
ABalapappap,1
ABalapappp,1
ABalapapppa,1
ABalapapppp,1
ABalappaaa,1
ABalappaap,1
ABalappaapa,1
ABalappaapp,1
ABalappapa,1
ABalappapaa,1
ABalappapap,1
ABalappapp,1
ABalappappa,1
ABalappappp,1
ABalapppaa,1
ABalapppaaa,1
ABalapppaap,1
ABalapppap,1
ABalapppapa,1
ABalapppapaa,1
ABalapppapap,1
ABalapppapp,1
ABalappppa,1
ABalappppaa,1
ABalappppaaa,1
ABalappppaap,1
ABalappppap,1
ABalappppp,1
ABalapppppa,1
ABalapppppp,1
ABalpaaaaa,1
ABalpaaaaaa,1
ABalpaaaaap,1
ABalpaaaap,1
ABalpaaaapa,1
ABalpaaaapp,1
ABalpaaapa,1
ABalpaaapaa,1
ABalpaaapap,1
ABalpaaapp,1
ABalpaaappa,1
ABalpaaappp,1
ABalpaapaa,1
ABalpaapaaa,1
ABalpaapaap,1
ABalpaapap,1
ABalpaapapa,1
ABalpaapapp,1
ABalpaappa,1
ABalpaappaa,1
ABalpaappap,1
ABalpaappp,1
ABalpaapppa,1
ABalpaapppp,1
ABalpapaaa,1
ABalpapaaaa,1
ABalpapaaap,1
ABalpapaap,1
ABalpapaapa,1
ABalpapaapp,1
ABalpapapa,1
ABalpapapaa,1
ABalpapapap,1
ABalpapapapa,1
ABalpapapapp,1
ABalpapapp,1
ABalpapappa,1
ABalpapappp,1
ABalpappaa,1
ABalpappaaa,1
ABalpappaap,1
ABalpappaapa,1
ABalpappaapp,1
ABalpappap,1
ABalpappapa,1
ABalpappapp,1
ABalpapppa,1
ABalpapppaa,1
ABalpapppap,1
ABalpapppp,1
ABalpappppa,1
ABalpappppp,1
ABalppaaaa,1
ABalppaaap,1
ABalppaaapa,1
ABalppaaapp,1
ABalppaapa,1
ABalppaapp,1
ABalppaappa,1
ABalppaappp,1
ABalppapaa,1
ABalppapaaa,1
ABalppapaap,1
ABalppapap,1
ABalppapapa,1
ABalppapapp,1
ABalppappa,1
ABalppappaa,1
ABalppappap,1
ABalppappp,1
ABalppapppa,1
ABalppapppp,1
ABalpppaaa,1
ABalpppaaaa,1
ABalpppaaap,1
ABalpppaap,1
ABalpppaapd,1
ABalpppaapv,1
ABalpppapa,1
ABalpppapad,1
ABalpppapav,1
ABalpppapp,1
ABalpppappa,1
ABalpppappp,1
ABalpppapppa,1
ABalpppapppp,1
ABalppppaa,1
ABalppppaad,1
ABalppppaav,1
ABalppppap,1
ABalppppapa,1
ABalppppapaa,1
ABalppppapap,1
ABalppppapp,1
ABalpppppa,1
ABalpppppaa,1
ABalpppppap,1
ABalpppppp,1
ABalppppppa,1
ABalppppppaa,1
ABalppppppap,1
ABalppppppp,1
ABalpppppppa,1
ABalpppppppp,1
ABaraaaaaa,1
ABaraaaaaaa,1
ABaraaaaaap,1
ABaraaaaap,1
ABaraaaaapa,1
ABaraaaaapp,1
ABaraaaapa,1
ABaraaaapaa,1
ABaraaaapap,1
ABaraaaapp,1
ABaraaapaa,1
ABaraaapaaa,1
ABaraaapaap,1
ABaraaapap,1
ABaraaapapa,1
ABaraaapapp,1
ABaraaappa,1
ABaraaappaa,1
ABaraaappap,1
ABaraaappp,1
ABaraaapppa,1
ABaraaapppp,1
ABaraapaaa,1
ABaraapaaaa,1
ABaraapaaap,1
ABaraapaap,1
ABaraapaapa,1
ABaraapaapp,1
ABaraapapa,1
ABaraapapaa,1
ABaraapapap,1
ABaraapapp,1
ABaraapappa,1
ABaraapappp,1
ABaraappaa,1
ABaraappaaa,1
ABaraappaap,1
ABaraappap,1
ABaraappapa,1
ABaraappapp,1
ABaraapppa,1
ABaraapppaa,1
ABaraapppap,1
ABaraapppp,1
ABaraappppa,1
ABaraappppp,1
ABarapaaaa,1
ABarapaaaaa,1
ABarapaaaap,1
ABarapaaap,1
ABarapaaapa,1
ABarapaaapp,1
ABarapaapa,1
ABarapaapaa,1
ABarapaapap,1
ABarapaapp,1
ABarapaappa,1
ABarapaappp,1
ABarapapaa,1
ABarapapaaa,1
ABarapapaap,1
ABarapapaapa,1
ABarapapaapp,1
ABarapapap,1
ABarapapapa,1
ABarapapapp,1
ABarapappa,1
ABarapappaa,1
ABarapappap,1
ABarapappp,1
ABarapapppa,1
ABarapapppp,1
ABarappaaa,1
ABarappaaaa,1
ABarappaaap,1
ABarappaap,1
ABarappaapa,1
ABarappaapp,1
ABarappapa,1
ABarappapaa,1
ABarappapap,1
ABarappapp,1
ABarappappa,1
ABarappappp,1
ABarapppaa,1
ABarapppaaa,1
ABarapppaap,1
